Ticker,Instrumento,Peso_Sugerido,Retorno_Esperado,TEM,TNA
GBAN.BA,RV_Local,0.1203,0.88,0.0,0.0
VALO.BA,RV_Local,0.1086,0.78,0.0,0.0
TRAN.BA,RV_Local,0.0912,0.6,0.0,0.0
DGCU2.BA,RV_Local,0.0882,0.57,0.0,0.0
TGNO4.BA,RV_Local,0.0877,0.57,0.0,0.0
YPFD.BA,RV_Local,0.078,0.45,0.0,0.0
TGSU2.BA,RV_Local,0.0761,0.42,0.0,0.0
PBR,RV_Global,0.0186,1.45,0.0,0.0
TEN,RV_Global,0.0124,1.04,0.0,0.0
BG,RV_Global,0.0116,0.97,0.0,0.0
PSX,RV_Global,0.0111,0.93,0.0,0.0
CL,RV_Global,0.011,0.92,0.0,0.0
EBAY,RV_Global,0.0109,0.91,0.0,0.0
LMT,RV_Global,0.0105,0.87,0.0,0.0
AMGN,RV_Global,0.0101,0.84,0.0,0.0
0902.HK,RV_Global,0.0092,0.75,0.0,0.0
MSI,RV_Global,0.0091,0.73,0.0,0.0
HAL,RV_Global,0.0091,0.73,0.0,0.0
DTE.DE,RV_Global,0.009,0.72,0.0,0.0
MUFG,RV_Global,0.0088,0.7,0.0,0.0
TIIAY,RV_Global,0.0087,0.68,0.0,0.0
TZX28,RF_Local_Pesos (BONCER 2028 (CER)),0.0464,0.0851,0.0338,0.0851
TZXD7,RF_Local_Pesos (BONCER Dic-27 (CER)),0.0464,0.0757,0.0331,0.0757
TZXD6,RF_Local_Pesos (BONCER Dic-26 (CER)),0.0464,0.0516,0.0312,0.0516
AL30,RF_Local_HD (Soberano HD Ley Arg CP),0.0202,0.0983,0.0078,0.0983
AE38,RF_Local_HD (Soberano HD Ley Arg LP),0.0202,0.1071,0.0085,0.1071
AL35,RF_Local_HD (Soberano HD Ley Arg (35)),0.0202,0.1029,0.0082,0.1029
